num_cnpj_agente_distribuidora,sig_agente_distribuidora,nom_agente_distribuidora,nome_normalizado,uf,regiao,fonte_geografia,observacao
02341467000120,AME,AMAZONAS ENERGIA S.A,amazonas energia s.a,AM,Norte,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Amazonas Energia; área/sede de atendimento associada ao Amazonas.
02341467000120,AME,Amazonas Energia S.A.,amazonas energia s.a.,AM,Norte,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Amazonas Energia; área/sede de atendimento associada ao Amazonas.
02341470000144,BOA VISTA,Roraima Energia S.A.,roraima energia s.a.,RR,Norte,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Roraima Energia.
02341470000144,Boa Vista,Roraima Energia S.A.,roraima energia s.a.,RR,Norte,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Roraima Energia.
61584140000149,CAIUÁ,Caiuá Serviços de Eletricidade S/A.,caiua servicos de eletricidade s/a.,SP,Sudeste,curadoria_manual_validada,Agente histórico Caiuá; UF definida pela área estadual de distribuição em São Paulo antes da reorganização societária.
30460297000139,CASTRO - DIS,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE CASTRO,cooperativa de distribuicao de energia eletrica de castro,PR,Sul,curadoria_manual_validada,Cooperativa de Distribuição de Energia Elétrica de Castro; UF definida pela área municipal/estadual inequívoca no Paraná.
30460297000139,CASTRO-DIS,COOPERATIVA DE DISTRIBUICAO DE ENERGIA ELETRICA DE CASTRO,cooperativa de distribuicao de energia eletrica de castro,PR,Sul,curadoria_manual_validada,Cooperativa de Distribuição de Energia Elétrica de Castro; UF definida pela área municipal/estadual inequívoca no Paraná.
05965546000109,CEA,COMPANHIA DE ELETRICIDADE DO AMAPA CEA,companhia de eletricidade do amapa cea,AP,Norte,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Companhia de Eletricidade do Amapá.
05965546000109,CEA,COMPANHIA DE ELETRICIDADE DO AMAPÁ,companhia de eletricidade do amapa,AP,Norte,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Companhia de Eletricidade do Amapá.
04355657000122,CEAM,Companhia Energética do Amazonas,companhia energetica do amazonas,AM,Norte,curadoria_manual_validada,Agente histórico Companhia Energética do Amazonas; UF definida pela área estadual inequívoca no Amazonas.
