num_cnpj_agente_distribuidora,sig_agente_distribuidora,nom_agente_distribuidora,nome_normalizado,uf,regiao,fonte_geografia,observacao
02341467000120,AME,AMAZONAS ENERGIA S.A,amazonas energia s.a,,,,
02341467000120,AME,Amazonas Energia S.A.,amazonas energia s.a.,,,,
02341470000144,BOA VISTA,Roraima Energia S.A.,roraima energia s.a.,,,,
02341470000144,Boa Vista,Roraima Energia S.A.,roraima energia s.a.,,,,
61584140000149,CAIUÁ,Caiuá Serviços de Eletricidade S/A.,caiua servicos de eletricidade s/a.,,,,
30460297000139,CASTRO - DIS,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE CASTRO,cooperativa de distribuicao de energia eletrica de castro,,,,
30460297000139,CASTRO-DIS,COOPERATIVA DE DISTRIBUICAO DE ENERGIA ELETRICA DE CASTRO,cooperativa de distribuicao de energia eletrica de castro,,,,
05965546000109,CEA,COMPANHIA DE ELETRICIDADE DO AMAPA CEA,companhia de eletricidade do amapa cea,,,,
05965546000109,CEA,COMPANHIA DE ELETRICIDADE DO AMAPÁ,companhia de eletricidade do amapa,,,,
04355657000122,CEAM,Companhia Energética do Amazonas,companhia energetica do amazonas,,,,
00070698000111,CEB,Companhia Energética de Brasília,companhia energetica de brasilia,,,,
07522669000192,CEBDIS,NEOENERGIA DISTRIBUIÇÃO BRASÍLIA S.A.,neoenergia distribuicao brasilia s.a.,,,,
60196987000193,CEDRAP,COOPERATIVA DE ELETRIFICACAO DA REGIAO DO ALTO PARAIBA,cooperativa de eletrificacao da regiao do alto paraiba,,,,
60196987000193,CEDRAP,COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO PARAÍBA,cooperativa de eletrificacao da regiao do alto paraiba,,,,
50105865000190,CEDRI,COOPERATIVA DE ELETRIFICAÇÃO E DISTRIBUIÇÃO DA REGIÃO DE ITARIRI,cooperativa de eletrificacao e distribuicao da regiao de itariri,,,,
92715812000131,CEEE,Companhia Estadual de Energia Elétrica,companhia estadual de energia eletrica,,,,
08467115000100,CEEE-D,COMPANHIA ESTADUAL DE DISTRIBUICAO DE ENERGIA ELETRICA - CEEE-D,companhia estadual de distribuicao de energia eletrica - ceee-d,,,,
08467115000100,CEEE-D,COMPANHIA ESTADUAL DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA - CEEE-D,companhia estadual de distribuicao de energia eletrica - ceee-d,,,,
86444163000189,CEGERO,COOPERATIVA DE ELETRICIDADE DE SÃO LUDGERO,cooperativa de eletricidade de sao ludgero,,,,
85665990000130,CEJAMA,CEJAMA - COOPERATIVA DE ELETRICIDADE JACINTO MACHADO,cejama - cooperativa de eletricidade jacinto machado,,,,
08826596000195,CELB,Companhia Energética da Borborema,companhia energetica da borborema,,,,
08336783000190,CELESC,CELESC DISTRIBUICAO S.A,celesc distribuicao s.a,,,,
83878892000155,CELESC,Centrais Elétricas Santa Catarina S/A,centrais eletricas santa catarina s/a,,,,
08336783000190,CELESC-DIS,CELESC DISTRIBUIÇÃO S.A,celesc distribuicao s.a,,,,
87776043000141,CELETRO,COOPERATIVA DE ELETRIFICAÇÃO CENTRO JACUÍ LTDA,cooperativa de eletrificacao centro jacui ltda,,,,
01543032000104,CELG,Companhia Energética de Goiás,companhia energetica de goias,,,,
01543032000104,CELG-D,CELG DISTRIBUIÇÃO S.A. - CELG D,celg distribuicao s.a. - celg d,,,,
10835932000108,CELPE,COMPANHIA ENERGÉTICA DE PERNAMBUCO,companhia energetica de pernambuco,,,,
17155730000164,CEMIG,Companhia Energética de Minas Gerais,companhia energetica de minas gerais,,,,
06981180000116,CEMIG-D,CEMIG DISTRIBUIÇÃO S.A,cemig distribuicao s.a,,,,
52777034000190,CEMIRIM,COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE MOGI MIRIM,cooperativa de eletrificacao e desenvolvimento da regiao de mogi mirim,,,,
33249046000289,CENF,Companhia de Eletricidade Nova Friburgo,companhia de eletricidade nova friburgo,,,,
78274610000170,CEPRAG,COOPERATIVA DE ELETRICIDADE PRAIA GRANDE,cooperativa de eletricidade praia grande,,,,
75826404000138,CERAL ANITÁPOLIS,COOPERATIVA DE DISTRIBUICAO DE ENERGIA ELETRICA DE ANITAPOLIS - CERAL,cooperativa de distribuicao de energia eletrica de anitapolis - ceral,,,,
75826404000138,CERAL ANITÁPOLIS,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE ANITÁPOLIS - CERAL,cooperativa de distribuicao de energia eletrica de anitapolis - ceral,,,,
10532365000110,CERAL ARAPOTI,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE ARAPOTI,cooperativa de distribuicao de energia eletrica de arapoti,,,,
28610236000169,CERAL ARARUAMA,COOPERATIVA DE ELETRIFICAÇÃO RURAL DE ARARUAMA LTDA,cooperativa de eletrificacao rural de araruama ltda,,,,
10532365000110,CERAL-DIS,COOPERATIVA DE DISTRIBUICAO DE ENERGIA ELETRICA DE ARAPOTI,cooperativa de distribuicao de energia eletrica de arapoti,,,,
09364804000144,CERAÇÁ,CERAÇÁ - COOPERATIVA DISTRIBUIDORA DE ENERGIA VALE DO ARAÇÁ,ceraca - cooperativa distribuidora de energia vale do araca,,,,
86433042000131,CERBRANORTE,COOPERATIVA DE ELETRIFICAÇÃO DE BRAÇO DO NORTE,cooperativa de eletrificacao de braco do norte,,,,
27707397000102,CERCI,COOPERATIVA DE ELETRIFICACAO RURAL CACHOEIRAS ITABORAI LTDA,cooperativa de eletrificacao rural cachoeiras itaborai ltda,,,,
27707397000102,CERCI,COOPERATIVA DE ELETRIFICAÇÃO RURAL CACHOEIRAS ITABORAÍ LTDA,cooperativa de eletrificacao rural cachoeiras itaborai ltda,,,,
